0,1,2,3
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
HOLD,HOLD,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,HOLD,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
HOLD,BUY/SELL,HOLD,BUY/SELL
HOLD,HOLD,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
HOLD,HOLD,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
HOLD,HOLD,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
HOLD,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,HOLD,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
HOLD,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
HOLD,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
HOLD,HOLD,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
HOLD,HOLD,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
HOLD,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,HOLD,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,HOLD,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
HOLD,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,HOLD,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,HOLD,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,HOLD,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
HOLD,HOLD,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,HOLD,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,HOLD
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
BUY/SELL,BUY/SELL,HOLD,BUY/SELL
BUY/SELL,BUY/SELL,BUY/SELL,BUY/SELL
